"Entity","vaccination_policy","lasted","lon","lat"
"Kosovo","Dos grupos vulnerables",2021-04-27,20.902977,42.6026359
"Kuwait","Todos los grupos vulnerables",2021-04-26,47.481766,29.31166
"Kyrgyzstan","Vulnerables más otros",2021-05-08,74.766098,41.20438
"Laos","Todos los grupos vulnerables",2021-04-26,102.495496,19.85627
"Latvia","Todos",2021-05-09,24.603189,56.879635
"Lebanon","Todos los grupos vulnerables",2021-05-03,35.862285,33.854721
"Lesotho","Un grupo vulnerable",2021-05-09,28.233608,-29.609988
"Liberia","Dos grupos vulnerables",2021-04-26,-9.429499,6.428055
"Libya","Ninguna",2021-04-19,17.228331,26.3351
"Lithuania","Dos grupos vulnerables",2021-05-02,23.881275,55.169438
"Luxembourg","Todos",2021-05-08,6.129583,49.815273
"Macao","Vulnerables más otros",2021-05-03,113.543873,22.198745
"Madagascar","Ninguna",2021-04-19,46.869107,-18.766947
"Malawi","Todos",2021-05-09,34.301525,-13.254308
"Malaysia","Todos los grupos vulnerables",2021-05-03,101.975766,4.210484
"Mali","Todos los grupos vulnerables",2021-05-03,-3.996166,17.570692
"Malta","Vulnerables más otros",2021-05-10,14.375416,35.937496
"Mauritania","Todos los grupos vulnerables",2021-04-20,-10.940835,21.00789
"Mauritius","Un grupo vulnerable",2021-05-03,57.552152,-20.348404
"Mexico","Todos los grupos vulnerables",2021-05-03,-102.552784,23.634501
"Moldova","Todos los grupos vulnerables",2021-05-04,28.369885,47.411631
"Monaco","Vulnerables más otros",2021-05-09,7.4246158,43.7384176
"Mongolia","Vulnerables más otros",2021-05-10,103.846656,46.862496
"Morocco","Todos los grupos vulnerables",2021-05-08,-7.09262,31.791702
"Mozambique","Todos los grupos vulnerables",2021-05-04,35.529562,-18.665695
"Myanmar","Dos grupos vulnerables",2021-04-25,95.955974,21.916221
"Namibia","Vulnerables más otros",2021-04-12,18.49041,-22.95764
"Nepal","Dos grupos vulnerables",2021-05-03,84.124008,28.394857
"Netherlands","Todos los grupos vulnerables",2021-05-06,5.291266,52.132633
"New Zealand","Dos grupos vulnerables",2021-04-26,174.885971,-40.900557
"Nicaragua","Un grupo vulnerable",2021-04-26,-85.207229,12.865416
"Niger","Ninguna",2021-04-19,8.081666,17.607789
"Nigeria","Vulnerables más otros",2021-04-26,8.675277,9.081999
"Norway","Todos los grupos vulnerables",2021-05-06,8.468946,60.472024
"Oman","Todos los grupos vulnerables",2021-05-03,55.975413,21.4735329
"Pakistan","Dos grupos vulnerables",2021-04-18,69.345116,30.375321
"Palestine","Vulnerables más otros",2021-04-30,35.233154,31.952162
"Panama","Dos grupos vulnerables",2021-05-03,-80.782127,8.537981
"Papua New Guinea","Un grupo vulnerable",2021-05-09,143.95555,-6.314993
"Paraguay","Todos los grupos vulnerables",2021-05-02,-58.443832,-23.442503
"Peru","Todos los grupos vulnerables",2021-05-09,-75.015152,-9.189967
"Philippines","Todos los grupos vulnerables",2021-04-26,121.774017,12.879721
"Poland","Todos",2021-05-07,19.145136,51.919438
"Portugal","Todos los grupos vulnerables",2021-05-07,-8.224454,39.399872
"Qatar","Vulnerables más otros",2021-05-03,51.183884,25.354826
"Romania","Todos",2021-05-09,24.96676,45.943161
"Russia","Todos",2021-05-09,105.318756,61.52401
"Rwanda","Dos grupos vulnerables",2021-05-02,29.873888,-1.940278
"San Marino","Vulnerables más otros",2021-04-26,12.457777,43.94236
"Saudi Arabia","Todos",2021-05-03,45.079162,23.885942
"Senegal","Todos",2021-05-03,-14.452362,14.497401
"Serbia","Todos",2021-05-03,21.005859,44.016521
"Seychelles","Todos",2021-05-03,55.491977,-4.679574
"Sierra Leone","Vulnerables más otros",2021-04-26,-11.779889,8.460555
"Singapore","Vulnerables más otros",2021-05-09,103.819836,1.352083
"Slovakia","Vulnerables más otros",2021-04-26,19.699024,48.669026
"Slovenia","Todos los grupos vulnerables",2021-04-26,14.995463,46.151241
"Solomon Islands","Un grupo vulnerable",2021-04-26,160.156194,-9.64571
"Somalia","Dos grupos vulnerables",2021-05-09,46.199616,5.152149
"South Africa","Dos grupos vulnerables",2021-05-03,22.937506,-30.559482
"South Korea","Todos los grupos vulnerables",2021-05-08,127.766922,35.907757
"South Sudan","Dos grupos vulnerables",2021-05-03,31.3069788,6.8769919
"Spain","Dos grupos vulnerables",2021-05-09,-3.74922,40.463667
"Sri Lanka","Vulnerables más otros",2021-05-08,80.771797,7.873054
"Sudan","Todos los grupos vulnerables",2021-05-07,30.217636,12.862807
"Suriname","Vulnerables más otros",2021-05-03,-56.027783,3.919305
"Sweden","Todos los grupos vulnerables",2021-05-07,18.643501,60.128161
"Switzerland","Todos los grupos vulnerables",2021-05-06,8.227512,46.818188
"Syria","Un grupo vulnerable",2021-05-03,38.996815,34.802075
"Taiwan","Todos los grupos vulnerables",2021-05-03,120.960515,23.69781
"Tajikistan","Un grupo vulnerable",2021-04-26,71.276093,38.861034
"Tanzania","Ninguna",2021-05-03,34.888822,-6.369028
"Thailand","Ninguna",2021-04-26,100.992541,15.870032
"Timor","Un grupo vulnerable",2021-04-26,125.727539,-8.874217
"Togo","Dos grupos vulnerables",2021-05-09,0.824782,8.619543
"Tonga","Un grupo vulnerable",2021-05-02,-175.198242,-21.178986
"Trinidad and Tobago","Dos grupos vulnerables",2021-04-18,-61.222503,10.691803
"Tunisia","Todos los grupos vulnerables",2021-04-30,9.560764,33.881967
"Turkey","Todos los grupos vulnerables",2021-04-25,35.243322,38.963745
"Uganda","Un grupo vulnerable",2021-04-23,32.290275,1.373333
"Ukraine","Dos grupos vulnerables",2021-05-03,31.1655799,48.379433
"United Arab Emirates","Vulnerables más otros",2021-05-09,53.847818,23.424076
"United Kingdom","Vulnerables más otros",2021-05-07,-3.435973,55.378051
"United States","Todos",2021-05-08,-95.712891,37.09024
"Uruguay","Todos los grupos vulnerables",2021-04-18,-55.765835,-32.522779
"Uzbekistan","Vulnerables más otros",2021-05-09,64.585262,41.377491
"Vanuatu","Ninguna",2021-05-03,166.959158,-15.376706
"Venezuela","Un grupo vulnerable",2021-05-10,-66.58973,6.42375
"Vietnam","Todos los grupos vulnerables",2021-04-26,108.277199,14.058324
"Yemen","Todos los grupos vulnerables",2021-05-03,48.516388,15.552727
"Zambia","Un grupo vulnerable",2021-05-08,27.849332,-13.133897
"Zimbabwe","Vulnerables más otros",2021-05-09,29.154857,-19.015438
